This table was composed by Amy Bernard (Allen Institute),,,,,,,,
The Human Brain CCF is downloadable here: https://community.brain-map.org/t/allen-human-reference-atlas-3d-2020-new/405,,,,,,,,
"Citation: Ding, S.L., et al.  Comprehensive cellular‐resolution atlas of the adult human brain. Journal of Comparative Neurology, Volume 524:16, pages 3127–3481, 1 November 2016, DOI 10.1002/cne.24080.",,,,,,,,
 SEE HERE unflattened table: https://docs.google.com/spreadsheets/d/19m_xjwM5le7UKvt8966aEPA_a7HSCJBQY9Mq4qDe0ZQ/edit#gid=1644155102,,,,,,,,
Updated 10-06-2020 EMQ Note that only the motor cortex currently has cell types and biomarkers,,,,,,,,
Pertinent negatives/comments/numbering convention  https://portal.brain-map.org/explore/classes/nomenclature,,,,,,,,
flattened table verified and formatting adjusted to match ASCT-B reporter requirements by Ellen M. Quardokus (Indiana University),,,,,,,,
"This is for Adult human brain structure-based anatomy only;  cell types will map to these spatial designations.  Based on Allen Brain Atlas, CCF (3D), annotated by Song-Lin Ding ",,,,,,,,
Cell Types for M1 mapped by Jeremy Miller (draft version),,,,,,,,
,,,,,,,,
Structure/Region,Structure/Region,Structure/Region,Structure/Region,Structure/Region,Structure/Region,Cell type Class,specific cell type,BioMarker subset
forebrain (prosencephalon),gray matter of forebrain,cerebral cortex,frontal lobe,precentral gyrus,Primary motor cortex,Layer 5 glutamatergic neuron with presumptive intratelencephalic projections,Exc L5 THEMIS VILL,"DACH1, LOC101927389, TNC"
forebrain (prosencephalon),gray matter of forebrain,cerebral cortex,frontal lobe,precentral gyrus,Primary motor cortex,Layer 5 glutamatergic neuron with presumptive intratelencephalic projections,Exc L3 RORB OTOGL,"COL22A1, RMST"
forebrain (prosencephalon),gray matter of forebrain,cerebral cortex,frontal lobe,precentral gyrus,Primary motor cortex,Layer 5 glutamatergic neuron with presumptive intratelencephalic projections,Exc L3-5 RORB LINC01202,"LOC101927874, LOC105374971, LOC105376081, LOC105377703"
forebrain (prosencephalon),gray matter of forebrain,cerebral cortex,frontal lobe,precentral gyrus,Primary motor cortex,Layer 5 glutamatergic neuron with presumptive intratelencephalic projections,Exc L5 THEMIS SLC22A18,"BTNL9, CCBE1, LOC401134, SLC7A11"
forebrain (prosencephalon),gray matter of forebrain,cerebral cortex,frontal lobe,precentral gyrus,Primary motor cortex,Layer 5 glutamatergic neuron with presumptive intratelencephalic projections,Exc L5-6 THEMIS TNFAIP6,"LOC105373893, LOC105378031, LTBP1, TSHZ2"
forebrain (prosencephalon),gray matter of forebrain,cerebral cortex,frontal lobe,precentral gyrus,Primary motor cortex,Layer 5 glutamatergic neuron with presumptive intratelencephalic projections,Exc L3-5 RORB LNX2,"LOC105374971, LOC105377703, TRABD2A"
forebrain (prosencephalon),gray matter of forebrain,cerebral cortex,frontal lobe,precentral gyrus,Primary motor cortex,Layer 5 glutamatergic neuron with presumptive intratelencephalic projections,Exc L3-5 RORB RPRM,"LOC105374971, LOC105374973, RPRM"
forebrain (prosencephalon),gray matter of forebrain,cerebral cortex,frontal lobe,precentral gyrus,Primary motor cortex,Layer 5 glutamatergic neuron with presumptive intratelencephalic projections,Exc L5 RORB MED8,"COL22A1, LOC401134, NPFFR2"
forebrain (prosencephalon),gray matter of forebrain,cerebral cortex,frontal lobe,precentral gyrus,Primary motor cortex,Layer 5 glutamatergic neuron with presumptive intratelencephalic projections,Exc L5 THEMIS FGF10,"BDNF, CRH, NPFFR2"
forebrain (prosencephalon),gray matter of forebrain,cerebral cortex,frontal lobe,precentral gyrus,Primary motor cortex,Layer 6 glutamatergic neuron with presumptive intratelencephalic projections,Exc L6 THEMIS LINC00343,"ANKRD30B, LINC00299, LINC00343"
forebrain (prosencephalon),gray matter of forebrain,cerebral cortex,frontal lobe,precentral gyrus,Primary motor cortex,Layer 6 glutamatergic neuron with presumptive intratelencephalic projections,Exc L6 THEMIS SLN,"FAM163A, LOC105371832, LOC105374524"
forebrain (prosencephalon),gray matter of forebrain,cerebral cortex,frontal lobe,precentral gyrus,Primary motor cortex,Layer 6 glutamatergic neuron with presumptive intratelencephalic projections,Exc L6 THEMIS SNTG2,"LOC101927389, LOC105371310"
forebrain (prosencephalon),gray matter of forebrain,cerebral cortex,frontal lobe,precentral gyrus,Primary motor cortex,Layer 6 glutamatergic neuron with presumptive intratelencephalic projections,Exc L5-6 THEMIS SMYD1 (L6 IT Car3),"ATP10A, TRPC5"
forebrain (prosencephalon),gray matter of forebrain,cerebral cortex,frontal lobe,precentral gyrus,Primary motor cortex,Layer 6 glutamatergic neuron with presumptive corticothalamic projections,Exc L5-6 FEZF2 OR1L8,"LGR6, LOC101927439, LOC105374392, LOC105377183"
forebrain (prosencephalon),gray matter of forebrain,cerebral cortex,frontal lobe,precentral gyrus,Primary motor cortex,Layer 6 glutamatergic neuron with presumptive corticothalamic projections,Exc L5 THEMIS LINC01116,"LOC105369890, LOC105371663"
forebrain (prosencephalon),gray matter of forebrain,cerebral cortex,frontal lobe,precentral gyrus,Primary motor cortex,Layer 6 glutamatergic neuron with presumptive corticothalamic projections,Exc L5 THEMIS RGPD6,"DDR2, LOC105371663, THEMIS"
forebrain (prosencephalon),gray matter of forebrain,cerebral cortex,frontal lobe,precentral gyrus,Primary motor cortex,Layer 6 glutamatergic neuron with presumptive corticothalamic projections,Exc L5-6 FEZF2 C9orf135-AS1,"EGFEM1P, FOXP2, SEMA5A"
